instrument,datetime,open,high,low,close
XAUUSD,2026-09-23 16:38:11+00:00,4324.7001953125,4324.7001953125,4324.7001953125,4324.7001953125
XAUUSD,2026-09-23 18:48:11+00:00,4321.0,4321.0,4321.0,4321.0
XAUUSD,2026-09-23 22:02:02+00:00,4325.2001953125,4325.2001953125,4325.2001953125,4325.2001953125
XAUUSD,2026-09-24 01:07:48+00:00,4331.2998046875,4331.2998046875,4331.2998046875,4331.2998046875
XAUUSD,2026-09-24 07:22:26+00:00,4318.10009765625,4318.10009765625,4318.10009765625,4318.10009765625
XAUUSD,2026-09-24 13:20:16+00:00,4314.0,4314.0,4314.0,4314.0
XAUUSD,2026-09-24 18:13:21+00:00,4304.0,4304.0,4304.0,4304.0
XAUUSD,2026-09-24 22:03:11+00:00,4310.7998046875,4310.7998046875,4310.7998046875,4310.7998046875
XAUUSD,2026-09-25 01:13:24+00:00,4320.89990234375,4320.89990234375,4320.89990234375,4320.89990234375
NAS100_USD,2026-09-23 16:48:12+00:00,30412.236328125,30412.236328125,30412.236328125,30412.236328125
NAS100_USD,2026-09-23 18:58:14+00:00,30469.59375,30469.59375,30469.59375,30469.59375
NAS100_USD,2026-09-23 20:00:00+00:00,30470.29296875,30470.29296875,30470.29296875,30470.29296875
NAS100_USD,2026-09-24 18:23:18+00:00,30416.59765625,30416.59765625,30416.59765625,30416.59765625
NAS100_USD,2026-09-24 20:00:00+00:00,30478.85546875,30478.85546875,30478.85546875,30478.85546875
SPX500,2026-09-23 16:48:14+00:00,7707.16015625,7707.16015625,7707.16015625,7707.16015625
SPX500,2026-09-23 18:58:15+00:00,7712.43994140625,7712.43994140625,7712.43994140625,7712.43994140625
SPX500,2026-09-23 20:00:00+00:00,7706.02978515625,7706.02978515625,7706.02978515625,7706.02978515625
SPX500,2026-09-24 13:30:16+00:00,7667.7099609375,7667.7099609375,7667.7099609375,7667.7099609375
SPX500,2026-09-24 18:23:22+00:00,7700.580078125,7700.580078125,7700.580078125,7700.580078125
SPX500,2026-09-24 20:00:00+00:00,7704.1298828125,7704.1298828125,7704.1298828125,7704.1298828125
